epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,291.634,1.96524,0.81646,0.97009,0.95639,0.95714,0.93905,0.40918,1.91692,0.77873,0.94516,0.0011684,0.0011684,0.0011684
44,298.356,1.94223,0.79246,0.96512,0.96184,0.9619,0.95274,0.41594,1.96671,0.81426,0.94685,0.0011486,0.0011486,0.0011486
45,305.115,1.94909,0.81075,0.96764,0.97439,0.97619,0.96657,0.39322,1.95374,0.83433,0.95087,0.0011288,0.0011288,0.0011288
46,311.619,1.92201,0.81621,0.98876,0.95589,0.95714,0.94143,0.37596,2.09979,0.86878,0.96334,0.001109,0.001109,0.001109
47,318.422,1.97929,0.80523,0.96921,0.95183,0.95238,0.95142,0.40741,2.0247,0.78717,0.95755,0.0010892,0.0010892,0.0010892
48,325.163,2.01174,0.80256,0.98195,0.95168,0.95238,0.93818,0.39769,2.01848,0.81895,0.95072,0.0010694,0.0010694,0.0010694
49,331.704,1.96261,0.82781,0.96413,0.96533,0.96667,0.95788,0.41466,1.94661,0.83001,0.94674,0.0010496,0.0010496,0.0010496
50,338.601,1.97738,0.8151,0.9887,0.97154,0.97548,0.96497,0.42219,1.94621,0.80716,0.95064,0.0010298,0.0010298,0.0010298
51,345.33,1.98175,0.81352,1.00206,0.95624,0.95714,0.92796,0.37316,2.04916,0.84754,0.97595,0.00101,0.00101,0.00101
52,351.775,2.0249,0.82694,0.9813,0.95673,0.9619,0.95232,0.40771,1.99899,0.80427,0.94943,0.0009902,0.0009902,0.0009902
53,358.288,1.98252,0.82354,0.97731,0.98021,0.98095,0.97813,0.41283,1.95339,0.81245,0.95287,0.0009704,0.0009704,0.0009704
54,364.73,2.02668,0.854,0.98822,0.97046,0.97143,0.96686,0.39628,2.00516,0.81304,0.94978,0.0009506,0.0009506,0.0009506
55,371.29,1.96746,0.80476,0.97231,0.93717,0.93333,0.91579,0.36747,2.09209,0.82554,0.98206,0.0009308,0.0009308,0.0009308
56,377.835,1.92399,0.80342,0.97446,0.98986,0.99048,0.99156,0.41918,1.94439,0.78229,0.94365,0.000911,0.000911,0.000911
